unified_id,platform,show_id,original_title,original_year
UT00001,amazon,s84,Within Our Gates,1920
UT00002,amazon,s1285,Pollyanna,1920
UT00003,amazon,s1475,Nomads Of The North,1920
UT00004,amazon,s1144,Robin Hood (Silent),1922
UT00005,amazon,s1426,One Exciting Night,1922
UT00006,amazon,s1685,Merry-Go-Round,1923
UT00007,amazon,s1135,Romola,1924
UT00008,amazon,s486,The Phantom of the Opera (Silent),1925
UT00009,amazon,s686,The Eagle (No Dialog),1925
UT00010,amazon,s1777,Madame Behave,1925
UT00011,amazon,s2630,"Don Q, Son of Zorro (Silent)",1925
UT00012,amazon,s6628,Sir Arthur Conan Doyle's The Lost World,1925
UT00013,amazon,s7599,The Monster - Lon Chaney's Uncut Horror Classic!,1925
UT00014,amazon,s7619,"Lon Chaney in The Unholy Three - The Original 1925 Classic, Directed by Tod Browning",1925
UT00015,amazon,s8591,Tumbleweeds,1925
UT00016,amazon,s1173,Rex the Devil Horse (Silent),1926
UT00017,amazon,s4360,The Pleasure Garden,1926
UT00018,amazon,s5085,College,1927
UT00019,disney,s1221,Steamboat Willie,1928
UT00020,amazon,s475,The Racketeer,1929
UT00021,amazon,s601,The Iron Mask,1929
UT00022,amazon,s2214,High Voltage,1929
UT00023,amazon,s2943,Bulldog Drummond,1929
UT00024,amazon,s1204,Reaching for the Moon,1930
UT00025,amazon,s1373,Party Girl,1930
UT00026,amazon,s3668,The Devil To Pay!,1930
UT00027,amazon,s4528,Tabù,1930
UT00028,amazon,s5447,"D.W. Griffith's ""Abraham Lincoln"" - The Walter Huston 1930 Classic",1930
UT00029,amazon,s1665,Millie,1931
UT00030,amazon,s2482,Fighting Caravans,1931
UT00031,amazon,s2784,Corsair,1931
UT00032,disney,s737,Babes in the Woods,1932
UT00033,disney,s894,Flowers and Trees,1932
UT00034,disney,s1179,Santa's Workshop,1932
UT00035,amazon,s353,Those We Love,1932
UT00036,amazon,s576,The Last Mile (1932),1932
UT00037,amazon,s3426,A Farewell To Arms,1932
UT00038,amazon,s4204,"Come On, Tarzan",1932
UT00039,amazon,s4449,Discarded Lovers,1932
UT00040,amazon,s6503,White Zombie,1932
UT00041,amazon,s6515,The Most Dangerous Game,1932
UT00042,disney,s1318,The Pied Piper,1933
UT00043,disney,s1363,Three Little Pigs,1933
UT00044,disney,s1419,Ye Olden Days,1933
UT00045,amazon,s812,Tarzan The Fearless,1933
UT00046,amazon,s1435,Oliver Twist,1933
UT00047,amazon,s2053,Jaws of Justice,1933
UT00048,amazon,s2116,In the Money (1933),1933
UT00049,amazon,s2152,I Cover the Waterfront,1933
UT00050,disney,s923,Grasshopper and the Ants,1934
UT00051,disney,s1255,The Big Bad Wolf,1934
UT00052,disney,s1280,The Goddess of Spring,1934
